case,origin,dest,demand,y,flow
  231, 1,  4,300.0000, 40.1667,300.0000
  231, 2,  4,225.0000, 48.0309,225.0000
  232, 1,  4,300.0000, 40.1667,300.0000
  232, 2,  4,225.0000, 48.0246,225.0000
  233, 1,  4,300.0000, 40.1667,300.0000
  233, 2,  4,225.0000, 48.0183,225.0000
  234, 1,  4,300.0000, 40.1667,300.0000
  234, 2,  4,225.0000, 48.0120,225.0000
  235, 1,  4,300.0000, 40.1667,300.0000
  235, 2,  4,225.0000, 48.0057,225.0000
  236, 1,  4,300.0000, 40.1667,300.0000
  236, 2,  4,225.0000, 47.9994,225.0000
  237, 1,  4,300.0000, 40.1667,300.0000
  237, 2,  4,225.0000, 47.9932,225.0000
  238, 1,  4,300.0000, 40.1667,300.0000
  238, 2,  4,225.0000, 47.9869,225.0000
  239, 1,  4,300.0000, 40.1667,300.0000
  239, 2,  4,225.0000, 47.9807,225.0000
  240, 1,  4,300.0000, 40.1667,300.0000
  240, 2,  4,225.0000, 47.9746,225.0000
  241, 1,  4,300.0000, 40.1667,300.0000
  241, 2,  4,225.0000, 47.9684,225.0000
  242, 1,  4,300.0000, 40.1667,300.0000
  242, 2,  4,225.0000, 47.9622,225.0000
  243, 1,  4,300.0000, 40.1667,300.0000
  243, 2,  4,225.0000, 47.9561,225.0000
  244, 1,  4,300.0000, 40.1667,300.0000
  244, 2,  4,225.0000, 47.9500,225.0000
  245, 1,  4,300.0000, 40.1667,300.0000
  245, 2,  4,225.0000, 47.9439,225.0000
  246, 1,  4,300.0000, 40.1667,300.0000
  246, 2,  4,225.0000, 47.9378,225.0000
  247, 1,  4,300.0000, 40.1667,300.0000
  247, 2,  4,225.0000, 47.9318,225.0000
  248, 1,  4,300.0000, 40.1667,300.0000
  248, 2,  4,225.0000, 47.9257,225.0000
  249, 1,  4,300.0000, 40.1667,300.0000
  249, 2,  4,225.0000, 47.9197,225.0000
  250, 1,  4,300.0000, 40.1667,300.0000
  250, 2,  4,225.0000, 47.9137,225.0000
  251, 1,  4,300.0000, 40.1667,300.0000
  251, 2,  4,225.0000, 47.9078,225.0000
  252, 1,  4,300.0000, 40.1667,300.0000
  252, 2,  4,225.0000, 47.9018,225.0000
  253, 1,  4,300.0000, 40.1667,300.0000
  253, 2,  4,225.0000, 47.8959,225.0000
  254, 1,  4,300.0000, 40.1667,300.0000
  254, 2,  4,225.0000, 47.8899,225.0000
  255, 1,  4,300.0000, 40.1667,300.0000
  255, 2,  4,225.0000, 47.8840,225.0000
  256, 1,  4,300.0000, 40.1667,300.0000
  256, 2,  4,225.0000, 47.8781,225.0000
  257, 1,  4,300.0000, 40.1667,300.0000
  257, 2,  4,225.0000, 47.8723,225.0000
  258, 1,  4,300.0000, 40.1667,300.0000
  258, 2,  4,225.0000, 47.8664,225.0000
  259, 1,  4,300.0000, 40.1667,300.0000
  259, 2,  4,225.0000, 47.8606,225.0000
  260, 1,  4,300.0000, 40.1667,300.0000
  260, 2,  4,225.0000, 47.8548,225.0000
  261, 1,  4,300.0000, 40.1667,300.0000
  261, 2,  4,225.0000, 47.8490,225.0000
  262, 1,  4,300.0000, 40.1667,300.0000
  262, 2,  4,225.0000, 47.8432,225.0000
  263, 1,  4,300.0000, 40.1667,300.0000
  263, 2,  4,225.0000, 47.8374,225.0000
  264, 1,  4,300.0000, 40.1667,300.0000
  264, 2,  4,225.0000, 47.8317,225.0000
  265, 1,  4,300.0000, 40.1667,300.0000
  265, 2,  4,225.0000, 47.8259,225.0000
  266, 1,  4,300.0000, 40.1667,300.0000
  266, 2,  4,225.0000, 47.8202,225.0000
  267, 1,  4,300.0000, 40.1667,300.0000
  267, 2,  4,225.0000, 47.8145,225.0000
  268, 1,  4,300.0000, 40.1667,300.0000
  268, 2,  4,225.0000, 47.8089,225.0000
  269, 1,  4,300.0000, 40.1667,300.0000
  269, 2,  4,225.0000, 47.8032,225.0000
  270, 1,  4,300.0000, 40.1667,300.0000
  270, 2,  4,225.0000, 47.7975,225.0000
  271, 1,  4,300.0000, 40.1667,300.0000
  271, 2,  4,225.0000, 47.7919,225.0000
  272, 1,  4,300.0000, 40.1667,300.0000
  272, 2,  4,225.0000, 47.7863,225.0000
  273, 1,  4,300.0000, 40.1667,300.0000
  273, 2,  4,225.0000, 47.7807,225.0000
  274, 1,  4,300.0000, 40.1667,300.0000
  274, 2,  4,225.0000, 47.7751,225.0000
  275, 1,  4,300.0000, 40.1667,300.0000
  275, 2,  4,225.0000, 47.7696,225.0000
  276, 1,  4,300.0000, 40.1667,300.0000
  276, 2,  4,225.0000, 47.7640,225.0000
  277, 1,  4,300.0000, 40.1667,300.0000
